,City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
336,Gualaquiza,-3.4,-78.55,72.5,80,7,2.28,EC,1595270503
337,Queanbeyan,-35.35,149.23,32.0,92,0,4.7,AU,1595270503
338,Batticaloa,7.71,81.69,80.22,83,100,13.15,LK,1595270503
339,Moose Factory,51.26,-80.61,59.0,87,90,11.41,CA,1595270503
340,Ostrovnoy,68.05,39.51,67.32,63,19,10.31,RU,1595270504
341,Hohhot,40.81,111.65,66.2,63,100,6.71,CN,1595270504
342,Mazagão,-0.12,-51.29,89.6,59,75,3.36,BR,1595270504
343,Aswān,24.09,32.91,97.54,14,0,16.44,EG,1595270504
344,Inongo,-1.95,18.27,72.95,49,0,2.08,CD,1595270504
345,Anori,-3.77,-61.64,93.38,40,100,3.58,BR,1595270504
346,Botwood,49.15,-55.35,79.0,63,100,3.0,CA,1595270505
347,Trairi,-3.28,-39.27,82.58,66,93,13.85,BR,1595270375
348,South Shields,55.0,-1.43,62.01,71,40,11.41,GB,1595270505
349,Buala,-8.14,159.59,78.53,85,44,6.8,SB,1595270505
350,Koslan,63.46,48.9,60.55,66,0,6.46,RU,1595270505
351,Mujiayingzi,42.12,118.78,66.25,51,29,3.29,CN,1595270506
352,Paphos,34.77,32.42,78.8,74,0,8.05,CY,1595270362
353,Lake Havasu City,34.48,-114.32,104.0,8,1,12.75,US,1595270506
354,Nabire,-3.37,135.48,74.37,89,98,4.27,ID,1595270506
355,Khanewal,30.3,71.93,96.8,60,75,15.93,PK,1595270506
356,Killybegs,54.63,-8.45,57.2,62,33,5.82,IE,1595270507
357,Koforidua,6.09,-0.26,77.0,94,75,11.41,GH,1595270507
358,Xining,36.62,101.77,55.22,68,90,3.09,CN,1595270507
359,Leningradskiy,69.38,178.42,43.66,73,0,8.57,RU,1595270507
360,Gayny,60.31,54.32,59.34,77,97,6.55,RU,1595270507
361,Hope,33.67,-93.59,93.99,52,1,3.0,US,1595270507
362,Lubao,14.92,120.55,81.0,88,40,3.36,PH,1595270267
363,Calatayud,41.35,-1.64,93.2,73,0,5.82,ES,1595270508
364,Diffa,13.32,12.61,91.02,41,25,15.64,NE,1595270508
365,Kutum,14.2,24.67,76.75,58,21,6.87,SD,1595270508
366,Mimongo,-1.62,11.61,68.79,90,100,2.42,GA,1595270508
367,Phetchaburi,12.97,99.58,76.75,87,100,3.0,TH,1595270509
368,Puro,12.48,123.38,81.57,80,75,4.83,PH,1595270320
